,text,result
106,apple debuts new ipad air tv ad change new website section httptcos aapl,Neutral
107,jakeflem apple info httptcoe httptcopclpvggk httptco hope helps pinkscreenofdeath,Neutral
108,apple mass transit system maps detailed new patent aapl aapl httptcoq,Neutral
109,ohaiigloria hahahamark apple explain,Negative
110,rt danielllebaker paid new charger couldnt b pissed rape apple,Negative
111,biggest differences mac pc yep ill stick mac apple httptcoobykvsjfjy apple lisaeadicicco,Positive
112,yall need fix flickerflash swipe close apps apple,Negative
113,principled truths eddy cue talks fortune apple appeals ebook pricefixing judgment aapl httptcomlr,Neutral
114,appleipad irig price connect guitar could buy real amp loud enough perform ripoff,Negative
115,steviebuckley strange things dropbox files well create new folder disappears etc apple yosemite bugs,Negative
116,aapl unexpected stocks bringing buffett fellow billionaires holiday httptcoq,Neutral
117,hlpstaluke apple one stepped phone last night smashed doesnt work,Negative
118,hey apple fuck thinking want text messages pop computer ipad phone thisiswhypeoplegetmurdered,Negative
119,another reason hate apple,Negative
120,steve jobs dont know claims case aapl aapl httptcoqxs,Neutral
121,onerepublic apple cool youre working new music cant wait hear youre working hard need rest,Positive
122,apple technologyis becoming undesirable glitches constantly stopping working,Negative
123,apple dominates mobile online shopping percent us aapl httptcofqopihobo,Positive
124,applenws appleproducts apple ok look yall still aint reversed back ios idk hold ima need yall get,Negative
125,apple stop making os installations damn bloody difficult stop asking clear space hard disk,Negative
126,jimmy iovine apple hole music right let plug httptcozwi aapl,Neutral
127,antidiscrimination bill named apple ceo timcook httptco via theinquisitr lgbt lgbt gayrights alabama,Neutral
128,rt incognito hate apple much ruin life,Negative
129,debunking one apples biggest myths httptco aapl,Neutral
130,rt animaitoes phone suck much apple,Negative
131,yo aint shit apple,Negative
132,apple market maker price range forecast update aapl httptcoj,Neutral
133,apple planning spend million auditorium httptcoqklb aapl wwdc httptcoqyhvucusyp,Neutral
134,youll able learn code free next week nearest apple store httptcox,Neutral
135,find alarming apple power cords quickly fray dont always notice dont travel applecordfire,Negative
136,best stevejobs apple aapl httptcog via,Neutral
137,samjam agreedhave give props apple battery life new iphones good tl_chat,Positive
138,apple hold minutes thank god sold stock comcast apple,Negative
139,viticci panic apple jesus create extensions lighten apple,Negative
140,apple inc price close december apple aapl,Neutral
141,cnbctv bulls running gopro amp apple gpro aapl httptcojb,Neutral
142,apple warming social media apple hiring social media guru la apple finally tweether httptco,Neutral
143,ironic pr event talking companies dont need people talking google apple facebook,Neutral
144,many iphone chargers need go apple make charger durability point new iphone,Negative
145,rumoured oppo looks similar certain apple httptcorjf,Neutral
146,apple watch track february release testing underway rumour aapl aapl httptco,Neutral
147,howto import objectivec code bridging header file apigee sdk apples swift httptcoxx httptcodkooxiegry,Neutral
148,thanks apple making life complicated,Negative
149,bose products reportedly set return apple store shelves early next week httptcorsdt aapl jimmyiovine,Neutral
150,aaplalabama antidiscrimination bill named apple ceo tim cookhttptcohgjmjbzd,Neutral
151,apple launch inch iphone next year report aapl aapl httptcoboom,Neutral
152,cat chews apple cords applesnob,Neutral
153,ur minute minutes apple httptcotinvuqnyam,Negative
154,log icloud phone cut mobile version argh anyone know apple,Negative
155,fuck fuck much hate apple,Negative
156,leiahemilyy apple really,Neutral
157,move aside apple google alibaba entering connected car space forbes baba goog aapl httptcogosqlrwvtl,Neutral
158,footage apple computer running computerhistory apple christiesinc httptcog,Neutral
159,great service apple bethesdarow thanks jenna brandon,Positive
160,apple please get together need products work,Negative
161,apple thanks greedy assholes force pay get something already fucking paid final cut pro,Negative
162,aapl stock miniflash crash today money morning nothing analysts suggested would make widel httptco,Neutral
163,blunderblock fricking apple ever gets act together appstore need blunderblock brandiglanville,Negative
164,steve wozniak apple computer revolution working steve jobs httptcowlyzu via bw,Neutral
165,uh apple making fun french people rude new iphone call anywhere ad thats seemed,Negative
166,apple poach fashion fashion follow suit business fashion httptcokxonfm,Neutral
167,apple tell ya really feel,Neutral
168,oh apple horrible packaging shipping shame httptcozu,Negative
169,apple ical reset recurring spite months individualizing one per current date fail icloud sucking,Negative
170,rt chemixcalbieber whoabiebz get shit together ill guy samsung galaxy apple httptcoa,Negative
171,angusdick yes exact issue took apple free battery replacement trackpad ended fine,Neutral
172,redxpower christmascount yeah dont make tablets apple,Neutral
173,maine_nitin good morning looks like ill hanging apple store students snowbirds sometime week,Neutral
174,tweet nandos phone puts caps like iphone six knows favourite restaurant good phone gg apple,Positive
175,wtf battery one second ago wtf apple,Negative
176,cnbctv apple arguably innovative company world pro aapl httptcozckhu,Positive
177,aaplis time start buying applehttptconulnjlbag,Neutral
178,cgk laptop prob today apple local useless tech support useless hr genius bar useless buy pc next time,Negative
179,please apple dont go way facebook gone ios release notes deserve know whats happening gear,Negative
180,itunes pissing tf apple,Negative
181,aapl rt fortunemagazine alex gauna flips apple bit sets streethigh target httptcobrhp,Neutral
182,fazenikan apple lol iphoneweak get lumia level bruh,Negative
183,iphone plus captures phablet sales us aapl aapl httptcoepr,Neutral
184,apple wants make commute much easier according new patent aapl aapl httptcohqb,Neutral
185,feel lost phone apple iphone chargers horrendous brokenchargerprobs,Negative
186,verrcktes gercht zum apple apple watch tuesday december httptcopgcaslanza,Neutral
187,aaplapple loop iphone rumors myth steve jobs garage iphone httptcojqikzd,Neutral
188,please make gold macbook apple,Neutral
189,apple doesnt people explain precautions buying expensive laptop,Negative
190,appledec trading daily profit sh weekly profits sh aapl stockaction trading stocks mkt httptcormuuno,Neutral
191,options outlook amid heavy week economic events httptcosg aapl goog googl tsla wmt premarket markets,Neutral
192,apple reportedly hiring fashionfocused staff physical stores httptcozv ftdaily fashiontech,Neutral
193,apple iwatch changing face watches httptcox applenews iwatch gadgets,Neutral
194,apple deleted rivals music ipods court hears aapl aapl httptcor,Neutral
195,dustynmichael got enough apple products httptcoebixal,Neutral
196,apple cant fnd netbot app store help asap,Negative
197,itunes apple music library wont sync new music etc itunes tells sync completed nothing new uploadedhow fix frustrating,Negative
198,charlesjmeyer apple appy_geek hasnt apple decades dont support apple apple deletegame,Negative
199,yo apple yall make hard grip,Negative
200,apple makes bad chargers apple genius said wrap electrical tape wonder jony ive thinks httptcop,Negative
201,rt paisley_smithh real tired charger breaking every month apple,Negative
202,dad called musics arent playing jesus christ apple problematic,Negative
203,ok apple win wont use browser anymore since keeps closing literally times today counted,Negative
204,rt teamcavuto protesters stage diein protests apple store nyc anger misplaced retweet agree,Neutral
205,lvivivuvu sextsatan apple replied livingthedream ari,Neutral
206,apple iphones alarm fails work sometimes missed bonus points class sooooo annoyed,Negative
207,would nice could type one sentence without computer freezing apple microsoft word internet everyone,Negative
208,apple still struggles meet iphone demand canaccord raises price target aapl aapl httptcor,Neutral
209,apple matches increase earnings eps ios app donkey stocks iphone aapl httpstcocbugrehzs,Neutral
210,apple apple patents iphone drop protection mechanism changes device tuesday december httptcowpnlcmbcsb,Neutral
211,myths vs realityfull time trading httptcokgb stocks futures forex trader es aapl gpro esignal httptcoeyx,Neutral
212,much asshole apple get shit together,Negative
213,rt ehsonakbary worlds first murder via facetime thank innovation apple httptcofj,Negative
214,whos buying new iphones anyway aapl aapl httptcooerygghnsc,Neutral
215,rt horseshoebmore holiday giveaway ensure stay touch go ck brands like apple amazon httptcoqnh,Neutral
216,apple normal use abuse wrapped exactly instructed fire hazard replace defective,Negative
217,rt ravimikkelsen hrhound mandogallegos nice actor iwatch hed entire suite apple products sponsordeal,Neutral
218,moment everytime walk apple purchase amp receipt emailed amp think getting stopped miniheartattack tim_cook,Neutral
219,major crisis avoided apple guys able restore daughters iphone great service thanks starservice,Positive
220,fuck apple making shit products,Negative
221,pop bostonholiday urbannutcrackers russellferg amp krumpers apple store boylston st pm today dancing amp chat,Neutral
222,apple dream last night downgraded iphone spent rest dream trying figure shame,Negative
223,onerepublic apple look cute,Positive
224,dont undestand syfnews creditcare website doesnt work apple prodhad request paper bills whatyearisit poorcustomerservice,Negative
225,dear apple replace phone battery sucks,Negative
226,china reminds apple need support privacy security products aapl aapl httptcoabnwwvqxh,Neutral
227,nale think parable accessible france apple appstore,Neutral
228,oh apple delete unwanted photos eight times enough dont want recently deleted folder,Negative
229,biggest differences mac pc yep ill stick mac apple httptcoihn apple lisaeadicicco,Positive
230,rt yungbaaz god dammit fuck apple,Negative
231,aapl mt fortunemagazine apple clear name ebooks drama eddy cue says hed take better notes httptco,Neutral
232,apple fix addis phone text pls thx,Negative
233,companies admire qdigital vaynermedia apple must rocks work mainly boss culture,Positive
234,siri apple stevejobs alarmthatdidntgooff disrespectful,Negative
235,rt amdocs top ios apps apple names elevate brain training iphone app httptcotyrnmygndp,Neutral
236,apple make phone album want stay phone removed camera roll cleared get together,Negative
237,appstore apple release new infiniteflight update appstore flyingdevstudio says update hands,Neutral
238,would say good life fuck man little guy like mths old fck u apple ur piece shit chargers,Negative
239,pegraton may gain orders iphone aapl aapl httptcox,Neutral
240,protesters apple store pretty much sums like gravitational pull shocked took long next stop starbucks,Negative
241,genius barapple store helpful aapl staff whoever helped genius comp wking httptcoecn,Positive
242,hate macbook fuck update fuck apple,Negative
243,apple conclusion best client service ever,Positive
244,jimmymujaj apple works fucker hoe one person smd,Negative
245,phone charged seconds thanks apple,Positive
246,apple please stop notifying upgrade icloud storage use icloud enough upgrade would pay things,Negative
247,apple recruiting luxury executives iwatch ill make easy get celebrities wear,Neutral
248,contact apple rt mrstiffanyanne anybody sold iphone questions amp cant find google,Neutral
249,hey apple keeps glitching,Negative
250,fell ft screen shattered like blown apple wants additional fix maybe make product lasts,Negative
251,rt horseshoebmore holiday giveaway ensure stay touch go ck brands like apple amazon httptcomowmz,Neutral
252,turn auto correct apple,Neutral
253,apple stores hosting hour code programming workshops december th httptconqes aapl tokyo,Neutral
254,brooklyn changing apple store heading bk,Neutral
255,bloombergtv steve wozniak really happened jobs garage httptcoxljuv via bloombergtv apple aapl,Neutral
256,apple diag support suck lot says cannot connect server try ticket found disgusting httptcoaryybxodox,Negative
257,phone keeps restarting apple dont play like,Negative
258,looking crazy george street sydney rain apple genius bar httptcodod httptcodlrmfkdkhh,Neutral
259,sony apple itunesmusic appstore tim_cook need combine efforts make one solid system accessible device,Neutral
260,apple inc losing billion edtech market aapl aapl httptcojt,Neutral
261,httptcotekpbqyw apple default search engine,Neutral
262,sales iphone plus settled longrunning argument apple smartphones aapl aapl httptco,Neutral
263,love apple supporting hourofcode workshops httptcofnjnu,Positive
264,changing words arent even misspelled like really would really like know apple,Negative
265,mkt final aapl putcallratios thursday december httptcomepa,Neutral
266,daulfn appleuk_ apple devs,Neutral
267,onerepublic apple beautiful,Positive
268,apple icloud family inapp purchase approvals broken since friday might unhappy moneylosing developers come monday,Negative
269,apple excellent customer service thanks ian applestorecoventgarden,Positive
270,sometimesboring also wtf apple dont even live kirkby,Negative
271,firstever apple watch hackathon apps challenges emerge aapl aapl httptcok,Neutral
272,follow developments aapl drm trial finally underway httpstcomvjwhtnq,Neutral
273,yosemite update annoying regret installing _ apple sort shit bro,Negative
274,rt willliamlemar rt justpoetic_ fuck recently deleted photo album apple,Negative
275,know apple strong supply chain makes way supplychain operations httptcorjyhcv,Neutral
276,apple inc facebook clash neither wrong motley fool fb aapl httptcortqfc,Neutral
277,cheeky apple cheeky dice though cant app store description product httptcoveruzfs,Negative
278,got hear new patent apple thats quite innovative idea apple mobile screen never break future,Positive
279,bloombergtv wozniak really happened stevejobs garage httptcodmnbzukzoz aapl,Neutral
280,waiting week duns number preventing able build release clients ios app apple hate,Negative
281,rt hypebot steve jobs deposition ipod lawsuit could cost apple billion httptcovdxwvxkpe musicbiz musicindustry apple,Negative
282,thought happened hate apple day httptcojyzogi via rollingstone,Negative
283,apple laughing pants school programs australia even manage wringe money poorest people,Negative
284,nyc ericgarner protesters stage die apple store httptcosc live rebelutionary_z blacklivesmatters shutitdown,Neutral
285,foreign currency exchange may headwind apple aapl httptcormpimkvlsh aapl,Neutral
286,case accident downloaded free apple app yet winnipeg httptcovbqnl,Neutral
287,tim_cook rage dealing apple geniuses maintain known issue simple google search shows big,Negative
288,cnbctv citis apple optimism aapl httptcofib,Neutral
289,dan nathan profit apple stock aapl aapl httptcoq,Neutral
290,thank apple fixing swift sourcekit crashes xcode life better httptco,Positive
291,fucking goddamn stupid apple itunes ur fucked justsayin itunes,Negative
292,feels yosemite eats battery amp resource mavericks apple reading,Negative
293,whereiscooldude cyrus_t_virus apple wait im okay yeah actually burn,Negative
294,many apples top apps downloaded phone httptcocdgc,Neutral
295,cool apple stores host free hour code workshops dec promote computer science httptco tech,Positive
296,apple make difficult get help products wasted minutes life online still nowhere,Negative
297,currently hold apple cupertino try set genius bar appointment madrid dontask,Negative
298,caderageous thx rt apple digital languages ip new internet leader cost diy googlenexus httptcofmapgo,Neutral
299,dont know youre trying apple phone updates turned thanks letting aware error httptco,Negative
300,yes rt garrett_wollman apple dont remind tomorrow fing tell updates want install actually,Negative
301,rt sjado lena x bonus airmiles apple right airmilesshops,Neutral
302,apple chance apple tv verizon fios going downhill fast using crappy plastic stbs displays,Neutral
303,damn apple commercials getting worse worse,Negative
304,apple macmail os x yosemite really giving hard time alternative email program yosemiteproblems,Negative
305,apple buy nintendo sega theyd get emulation characters game contentportfolios brand recognition developer contacts,Neutral
306,yeeaaayyyawesome os x yosemite roccckkkssss httpstcov satan_oppa apple,Positive
307,russia selling banned stevejobs tribute statue cultofmac httptcos apple aapl iphone memorial bastards,Neutral
308,seems similar apple google cloud backup pictures onlinefootprint modicumofprudence,Neutral
309,lol rt ms_bianca_bisa mhdadon apple havent decided yet might get bourgeois,Neutral
310,fucking apple memer faggots httptcohbpxtrcj,Negative
311,kids parents need monitor apple power cords daily make sure still safe applecordfire,Negative
312,apple incs profit margin continue upward motley fool aapl httptcoosldahbkjp,Neutral
313,hey apple let us get star wars action itunes,Neutral
314,rt bgpublic even reason apple stop using benzene manufacturing httptconjdyqwfvae,Negative
315,die hard apple customer must say truly displeased customer service given today badservice apple,Negative
316,apple cant got new phone,Neutral
317,thank apple applesantamonica fixing friends phone less hours free charge guys best,Positive
318,winter scary stay safe winnipeg free apple app httptcoqt,Neutral
319,aapl steve jobs emails need readhttptcotx,Neutral
320,imovie screws project yet really hate apple,Negative
321,apple pay services lead price target upgrade apple inc aapl aapl httptcotsjqlg,Neutral
322,nd aint even leave house yet apple water u doin fam,Negative
323,apple facing challenge googles android aapl aapl httptcofm,Neutral
324,rumoured oppo looks similar certain apple httptcolr,Neutral
325,onerepublic apple pilot fly us,Neutral
326,apple sashametro apple definition easy warped thanks useless corporate speak,Negative
327,pacific crests apple analyst reiterates selling shares forbes aapl httptcog,Neutral
328,jon_favreau movie chef original amp well executed reminded days steve jobs dreaming apple created iphone,Positive
329,aaplbuzz stocks apple inc aapl radioshack corporation delias ihttptcogul,Neutral
330,eva_ apple chill,Neutral
331,fix syncdefaultsd crashing every five minutes losing preference settings keep system preferences open apple,Negative
332,apple fighting never ending battle hackers itunes says chief eddy cue antitrust trial httptcoh,Neutral
333,guys apple serious yosemite full stupid ugly bugs feeling sad cc tim_cooktherealjonyive httptcossje,Negative
334,new apple apple iphone screen one sunday december httptcoqcvh,Neutral
335,honest great fanaticism apple turning equally great dislike,Negative
336,iphone finally came almost weeks dont think ill forget apple,Negative
337,youtube apple tv app updated streamlined interface video advertisements httptcot aapl,Neutral
338,apple plans launch iphone mini version aapl aapl httptcoxc,Neutral
339,danger ok apple wanna fuck,Negative
340,sales success gives apple apple best ever uk market position thursday december httptcohfvauozsox,Positive
341,iphone release date top needed features aapl aapl httptcorj,Neutral
342,apple tv fades away streaming video player market apple vod streaming httptcojygticwlc,Negative
343,apple isnt puke emoji im pissed fix fat,Negative
344,griffinnw apple tacobell love tacobell,Positive
345,attn apple buy guys amp make appletv fan tv heads exit httptcomcpfhvkilj via pkafka,Neutral
346,apple warming social media apple hiring social media guru la apple finally tweether httptcos,Neutral
347,nevbackwoods exactly come apple phone companies get yo shit together,Negative
348,difference apple everyone else one photo httptcorxakdajrwm via qz,Neutral
349,rt jpdesloges apple launch inch iphone next year report aapl aapl httptcoboom,Neutral
350,aaplin words investor robin chan talks xiaomis lei junhttptco,Neutral
351,khloe kardashian black iphone still dont mine apple whats going huh picking favorites biased fucks,Negative
352,ubs says consensus december quarter apple iphone units could low aapl aapl httptco,Neutral
353,apple ischool httptcotsbhpi education applenws,Neutral
354,props apple itc app review team reviewing metadata rejected resubmission hours thanks,Positive
355,marxculture appleuk_ apple ugh im longer dev remember wear suit oh wait dont like suits yeh ill probly,Neutral
356,apple still shit,Negative
357,apple apple loop rumors steve jobs garage myth iphone c speculation saturday december httptcozjxqhf,Neutral
358,rt shout apple making crappy iphone alarms dont go make late final,Negative
359,reason iphone imessage apple bruh make better battery,Negative
360,verrcktes gercht zum apple apple watch wednesday december httptcomsmqyrtuto,Neutral
361,thanks pushing yosemite apple worst slow clunky cantgoback misssnowleopard whathappened,Negative
362,apple make sd cards add memory iphone know wont allow sd cards profit,Negative
363,apple announces top apps favourite app make list via mashable httptco,Neutral
364,rt decodedfashion apple reportedly hiring fashionfocused staff physical stores httptcozv ftdaily fashiontech,Neutral
365,apple watch may luxury fashion hit aapl aapl httptcornyx,Neutral
366,steve wozniak says apple starting garage complete myth stevewoz httptcojyatqxywha httptcoeaboxjaofd,Neutral
367,top apps iphone according apple httptcotrny technologya,Neutral
368,fastcoexist use apple congrats gave government permission spy apple,Negative
369,hate apple much ruin life,Negative
370,need products like aviate companies like blackberry amp apple need embrace customization quality themes,Neutral
371,foreign currency exchange may headwind apple aapl httptcox,Neutral
372,rt phone chargers terrible apple fix jesus,Negative
373,cnbctv apple top execs take stand aapl httptcoiewloolder,Neutral
374,hate business much apple,Negative
375,apple take long send password reset email ipod apple soslow,Negative
376,apple hate microphone shit imessage please take fuck,Negative
377,square launches ios app food delivery service caviar ios blog httptcouaxkpbxu aapl,Neutral
378,got new cases apple applestore citycreek slc citycreek apple applestore red httptcotsudcu httptcobpaoylimcr,Neutral
379,rumors surface apple apple wednesday december httptcohrknn,Neutral
380,buy replacement phone charger sons iphone thats ill never buy apple product greedy,Negative
381,since apple stop replacing iphone units due defect scratches phone doesnt mean dropped,Negative
382,apple lol yea bro,Neutral
383,barclays apple analyst joins crowd increases price target forbes aapl httptcodwxecpe,Neutral
384,awesome paid iphone ipad apps free limited time via bgr aapl httptco,Positive
385,onerepublic apple ooh god,Neutral
386,apple incs profit margin continue upward aapl aapl httptcoslhf,Neutral
387,hey apple hell hahaha httptcodhn,Negative
388,gb going kill im close taking shit phone iphone apple,Negative
389,professorf apple hp bigger fan lgelectronics g watch r,Neutral
390,stupid fucking iphone chargers stupid break easy fuck apple,Negative
391,shout apple making crappy iphone alarms dont go make late final,Negative
392,apple fuck bitches phones abrick stuck apple logo,Negative
393,apple notification center pain ass way sort way dismiss notifications hitting x app,Negative
394,took one month plus become king phablets apple king jobspring technews httptcohrrs,Positive
395,worst thing ever update software computer update trash apple,Negative
396,yea let pay dollars phone dies fix shit apple,Negative
397,rt saxonidubom apple thanksthinking upgrading,Positive
398,apple computers like crash dead week finals,Negative
399,save ton money buy next iphone via bgr aapl httptcoe,Neutral
400,ipad mini first time startup httptcozzs via youtube apple ipadmini ipad macbook macbookpro startup hipster unbox,Neutral
401,recent apple inc lawsuit hurts share price httptcog aapl,Neutral
402,apple lower following cautious pac crest deutsche notes aapl crus httptcoqesxiwzuik,Neutral
403,caseypieper theweldingroom apple monster redbull heard monster hebrew devil lol,Neutral
404,fuck recently deleted photo album apple,Negative
405,wtf apple yall shit cheap httptcohna,Negative
406,feeling creatively stifled current emoji selection apple,Negative
407,apple opening advanced rampd center yokohama japan httptcorgtbppywqj aapl,Neutral
408,every student deserves chance apple connected txed,Neutral
409,apple important stock earth httptcoy aapl httptcoi,Neutral
410,apple power cord problem warranty said would fine isnt wont replace httptcodj,Negative
411,wtf apple,Negative
412,rt phone chargers terrible apple fix jesus,Negative
413,shelovesquez apple must like em,Neutral
414,apple wouldnt fix phone claims didnt tell screen fucked,Negative
415,report apple wants fashion luxury experts help sell applewatch aapl httptcoi httptcororxfmppsk,Neutral
416,the_hiit_coach well use know feeling well waiting app approved apple likewatchingpaintdry,Neutral
417,apple store nyc honored travel httptcob,Positive
418,even apple nyc flagship store wasnt spared visit ericgarner protests verge httptco,Neutral
419,early movers anf tjx tgt lyv aapl amp stocks posting largest moves bell httptcolpzrn,Neutral
420,dear apple want xmas ios stop crashing ipad signed cindy lou whoville apple,Negative
421,apple drdre next big thing wireless earbuds aka earplugs sound soundplugs,Neutral
422,imessage isnt working thanks apple,Negative
423,apple duck,Negative
424,todays show demand features lawyerpeteschulte policebodycameras apple opening toledo amp hot httptcorkhubwerjx,Neutral
425,dear amazon apple could httptcojxcl,Neutral
426,l agree theyre robust chocolate fire guard apple traffordcentre,Negative
427,book apple starbucks grow global brands book grow stickybrand httptco,Neutral
428,mhdadon apple havent decided yet might get bourgeois,Neutral
429,dear apple oh baby sit copying files pos finder like copying files hard oh wait,Negative
430,chayiltrading chartoftheday apple aapl httptcoz,Neutral
431,rt coltonobrian phone died apple fuck,Negative
432,apple apple httptcotcftmuaumy,Neutral
433,whereiscooldude apple kind thought hand,Neutral
434,apple gonna let italicize,Neutral
435,short menu live apple appstore floschliep,Neutral
436,apple bought telsa talent key cook access musks bright mind permanent basis read httptcol,Neutral
437,rt jpdesloges apple mass transit system maps detailed new patent aapl aapl httptcoq,Neutral
